Brand,Line,Recipie,Brand Name/Line /Recipe and Recipe,Life Stage,Store,Cost per cup,Cups Required 44lb less active,First Ingredients
,,,Trout & Rice,Adult  ,dog food direct,$0.53,,"Trout, menhaden fish meal, brown rice, oatmeal, barley, chicken fat (preserved with mixed tocopherols and citric acid), flax seed, natural turkey and fish flavor, beet-pulp dried, dried brewers yeast, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate, selenium yeast),dicalcium phosphate, "
,,,Adult - Chicken & Rice Formula,Adult  ,Canadian Pet  Connection,$0.56,2.25,"Chicken, chicken meal, brown rice, barley, chicken fat (preserved with mixed tocopherols and citric acid), white rice, oatmeal, menhaden fish meal (a source of fish oil), beet pulp-dried, natural turkey and chicken flavor, flax seed, dried brewers yeast, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate, selenium yeast), vitamins (vitamin A acetate, vitamin D3 supplement, vitamin E supplement, niacin, d-calcium pantothenate, thiamine mononitrate, "
,,,Weight Management ,Adult  ,Canadian Pet  Connection,$0.58,1.75,"Chicken, chicken meal, pea fiber, naturalturkey and chicken flavor, brown rice, peas, pea starch, menhaden fish meal (a source of fish oil), barley, oatmeal, beet pulp-dried, chicken fat (preserved with mixed tocopherols and citric acid), rice bran"
,,,Performance,Adult  ,Canadian Pet  Connection,$0.54,1.75,"Chicken, chicken meal, brown rice, barley, menhaden fish meal (a source of fish oil), oatmeal, chicken fat (preserved with mixed tocopherols and citric acid), flax seeds, natural turkey and chicken flavor, beet pulp-dried, dried brewers yeast, salt, dried egg product, minerals (zinc proteinate,iron proteinate, copper proteinate, manganese proteinate, "
,,,Lamb Meal & Rice Formula,Adult  ,Canadian Pet  Connection,$0.56,2.25,"Lamb meal, white rice, brown rice, barley, oatmeal, beet pulp-dried, menhaden fish meal (a source of fish oil), flaxseed, natural turkey and chicken flavors,chicken fat (preserved with mixed tocopherols and citric acid),sunflower oil, dried egg product, dried brewers yeast, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper p"
,,,Super Performance,Adult  ,Canadian Pet  Connection,$0.64,1.75,"Chicken meal, chicken, brown rice, chicken fat (preserved with mixed tocopherols and citric acid), menhaden fish meal (a source of fish oil), oatmeal, natural turkey and chicken flavor, flax seed, peas, white rice, pea fiber,"
,,,Large Breed Adult - Chicken & Rice Formula,Adult LB,Canadian Pet  Connection,$0.68,,"Chicken, chicken meal, brown rice, barley, white rice, chicken fat (preserved with mixed tocopherols and citric acid), oatmeal, natural turkey and chicken flavor, beet pulp-dried, menhaden fish meal (a source of fish oil), dried brewers yeast, flax seeds, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt proteinate, selenium yeast), vitamins (vitamin A acetate, vitamin D3 supplement, vitamin E supplement, niacin, d-calcium pantothenate, thiamine mononitrate, pyridoxine hydrochloride, riboflavin supplement, folic acid, biotin, vitamin B12 supplement), lactic acid, glucosamine hydrochloride, L-ascorbyl-2-"
,,,Large Breed Adult - Lamb Meal & Rice,Adult LB,Canadian Pet  Connection,$0.57,,"Lamb meal, brown rice, white rice, barley, menhaden fish meal (a source of fish oil), oatmeal, peas, beet pulp-dried, natural turkey and chicken flavor, flax seed, chicken fat (preserved with mixed tocopherols and citric acid),dried brewers yeast, sunflower oil, salt, potassium chloride, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate"
,,,,,,,,
,,,Senior,Senior,Canadian Pet  Connection,$0.58,1.5,"Chicken, chicken meal, brown rice, barley, white rice, peas, natural turkey and chicken flavor, flax seeds, chicken fat (preserved with mixed tocopherols and citric acid), oatmeal, beet pulp-dried, menhaden fish meal (a source of fish oil), dried egg product, dried brewers yeast, salt, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, "
,,,Senior Grain -Free,Senior,,$0.00,,"Turkey, turkey meal, green lentils, red lentils, peas, garbanzo beans, natural turkey flavor, menhaden fish meal, flax seed, pea fiber, beet pulp-dried, sunflower oil, dicalcium phosphate, calcium carbonate, potassium chloride, dried brewers yeast, salt, minerals (zinc proteinate, iron proteinate, copper proteinate, manganese proteinate, cobalt "
,,,Choice,,,,,
,,,Chicken Meal and Barley Recipe,,,$0.31,,"Chicken meal, whole grain sorghum, brown rice, oatmeal, barley, chicken fat (preserved with tocopherols and citric acid), dried plain beet pulp, natural flavors"
,,,,,,,,
,,,,,,,,
,,,Grain Free Recipes ,,,,,
,,,,,,,,
,,,Small Bites High Plains Select,Adult SB,Canadian Pet  Connection,$0.68,,
,,,Nutrience,,,,,
,,,Infusion Healthy Puppy - Chicken,Puppy,,$0.79,2.75,
,,,SubZero Puppy - Fraser Valley,Puppy,,$1.08,2.5,
,,,Infusion Healthy Small Breed,Puppy SB,,$0.89,,
,,,Fraser Valley Small Breed,Adult SB,,$1.37,1,
,,,Original Small Breed Adult Chicken and Brown Rice,Adult SB,,$0.75,1.75,
,,,Original Adult Medium Breed - Chicken Meal w/ Brown Rice,Adult  ,,$0.59,2.5,
,,,Infusion Healthy Adult,Adult  ,,$0.86,2.75,
,,,Infusion Healthy Adult Beef,Adult  ,,$0.88,3,
,,,SubZero Adult Grain Free - Fraser Valley,Adult  ,,$1.00,2,
,,,SubZero Canadian Pacific,Adult  ,,$1.13,,
,,,SubZero Fraser Valley,Adult  ,,$1.15,,
,,,SubZero Northern Lakes ,Adult  ,,$1.04,,
,,,"Grain Free - Turkey, Chicken & Herring",Adult  ,,$1.02,2.5,
,,,"Grain Free Small Breed - Turkey, Chicken & Herring",Adult  ,,$1.17,0.75,
,,,SubZero Prairie Red,Adult  ,,$1.22,,
,,,Infusion Adult Large Breed Chicken,Adult LB,,$0.83,2.75,
,,,SubZero Large Breed - Fraser Valley,Adult LB,,$1.14,1.88,
,,,Original LB Chicken and Brown Rice,Adult LB,,$0.51,2.5,
,,,Infusion Healthy Adult Senior,Senior,,$0.79,2.5,
,,,Nutram,,,,,
,,,Large Breed Puppy,Puppy LB,,$0.60,,
,,,Large Breed Adult,Adult LB,,$0.66,,
,,,S10 Balanced Wellness - Chicken Meal and Oatmeal Senior ,Senior,,$0.64,2,
,,,S6 Balanced Wellness - Chicken Meal and Brown Rice ,Adult  ,,$0.50,1.88,
,,,S7 Balanced Wellness- Chicken Meal and Brown Rice small breed ,Adult SB,,$0.85,,
,,,"S8 Balanced Wellness-Chicken Meal, Chicken and Oatmeal Large Breed ",Adult LB,,$0.55,,
,,,Nutro,,,,,
,,,nutro essentials LB adult pasture fed lamb and rice,Adult LB,petsmart,$0.38,,
,,,nutro limited ingredient diet adult lamb & sweet potatoe,Adult  ,petsmart,$0.71,,"Deboned Lamb, Lamb Meal, Chickpeas, Dried Potatoes, Dried Sweet Potato, Lentils, Potato Starch, Canola Oil (Preserved With Mixed Tocopherols), Sunflower Oil (Preserved With Mixed Tocopherols), Natural Flavor, Potato Protein, Dried Plain Beet Pulp, Potassium Chloride"
,,,nutro limited ingredient diet adult venison meal and sweet potato,Adult  ,petsmart,$0.64,,"Venison Meal, Dried Potatoes, Lentils, Chickpeas, Canola Oil (Preserved With Mixed Tocopherols), Dried Sweet Potato, Potato Starch, Potato Protein, Sunflower Oil (Preserved With Mixed Tocopherols), Natural Flavor, Dehydrated Alfalfa Meal, Dried Plain Beet Pulp, Potassium Chloride, Salt, Choline Chloride"
,,,nutro limited ingredient diet adult salmon & lentils,Adult  ,petsmart,$0.69,,"Salmon, Salmon Meal, Dried Potatoes, Lentils, Chickpeas, Dried Sweet Potato, Canola Oil (Preserved With Mixed Tocopherols), Potato Starch, Sunflower Oil (Preserved With Mixed Tocopherols), Natural Flavor, Dried Plain Beet Pulp, Potato Protein"
,,,nutro wholesome essentials adult chicken brown rice & sweet potato,Adult  ,Petsmart/Anipet,$0.47,,"Chicken, Chicken Meal, Whole Brown Rice, Brewers Rice, Split Peas, Rice Bran, Chicken Fat (preserved with Mixed Tocopherols), Barley, Lamb Meal, Dried Sweet Potato, Natural Flavor, Dried Plain Beet Pulp, Flaxseed, Potassium Chloride, Choline Chloride, DL-Methionine, Salt,"
,,, lamb and brown rice,Adult  ,walmart,$0.42,,"Deboned Lamb, Chicken Meal, Brewers Rice, Rice Bran, Whole Brown Rice, Whole Grain Oatmeal, Split Peas, Lamb Meal, Chickpeas, Natural Flavor, Chicken Fat (preserved with Mixed Tocopherols), Sunflower Oil (preserved with Mixed Tocopherols), Soybean Oil ("
,,,SENIOR Chicken & Sweet Potato Sml Breed ,Senior,Anipet,$0.81,,
,,,SENIOR Pasture Fed Lamb & Rice ,Senior,Anipet,$0.55,,
,,,Pasture Fed Lamb & Rice,Senior,,$0.55,,
,,, SENIOR chicken brown rice & sweet potato,Senior,Anipet,$0.54,,"Chicken, Brewers Rice, Whole Brown Rice, Chicken Meal (source of Glucosamine and Chondroitin Sulfate), Split Peas, Rice Bran, Barley, Pea Protein, Chicken Fat "
,,,nutro max chicken,,petsmart,$0.28,,"Chicken Meal, Whole Grain Sorghum, Brewers Rice, Chicken Fat (preserved with mixed Tocopherols), Dehydrated Alfalfa Meal, Chicken, Peas, Flaxseed, Natural Flavor, Whole Brown Rice,"
,,,nutro GF adult chciken lentils & sweet potato,Adult  ,petsmart,$0.56,,"Chicken, Chicken Meal, Lentils, Dried Potatoes, Chicken Fat (preserved with Mixed Tocopherols), Potato Starch, Lamb Meal, Dried Sweet Potato, Split Peas, Natural Flavor, "
,,,nutro GF Adult Lamb & sweet potato,Adult  ,,$0.61,,"Deboned Lamb, Chicken Meal, Dried Potatoes, Lentils, Chicken Fat (preserved with Mixed Tocopherols), Lamb Meal, Chickpeas, Dried Sweet Potato, Potato Starch, Natural Flavor, "
,,,"nutro ultra GF Duck, lentil, pear",Adult  ,petsmart,$0.94,,"Duck, Chicken Meal, Lentils, Lamb Meal, Dried Potatoes, Chickpeas, Chicken Fat (preserved with Mixed Tocopherols), Potato Starch, Pea Protein, Natural Flavors, Pear Puree, Sunflower Oil (preserved with Mixed Tocopherols), Whole Flaxseed, Choline Chloride, DL-Methionine, Potassium Chloride,"
,,,"nutro ultra GF Chicken, split pea,carrot",Adult  ,petsmart,$0.93,,"Chicken, Chicken Meal, Split Peas, Lamb Meal, Dried Potatoes, Lentils, Chicken Fat (preserved with Mixed Tocopherols), Natural Flavor, Potato Starch, Carrot, Chickpeas, Pea Protein, Whole Flaxseed, Chicory, Sunflower Oil "
,,,"mutro ultra GF lamb, chickpea & tomato",Adult  ,petsmart,$0.93,,"Deboned Lamb, Lamb Meal, Pork Meal, Chickpeas, Dried Potatoes, Split Peas, Chicken Fat (preserved with Mixed Tocopherols), Pea Protein, Potato Starch, Natural Flavor, Tomato Puree, Lentils, "
,,,"nutro ultra GF beef, spinach & ",Adult  ,petsmart,$0.91,,"Beef, Pork Meal, Dried Potatoes, Split Peas, Chickpeas, Lamb Meal, Chicken Fat (preserved with Mixed Tocopherols), Potato Starch, Pea Protein, Natural Flavors, Spinach, Whole Flaxseed, Sunflower Oil (preserved with Mixed Tocopherols), Choline Chloride, Potassium Chloride, DL-Methionine, Basil, Salt, Mixed Tocopherols and Citric Acid (preservatives), Parsley, Oregano,"
,,,wild frontier vital prey chicken GF,Adult  ,petsmart,$0.86,,"Chicken, Chicken Meal, Split Peas, Dried Potatoes, Chicken Fat (preserved with Mixed Tocopherols), Tapioca, Dried Plain Beet Pulp, Dried Chicken, Pea Protein, Natural Flavor, Turkey Liver, Pork Heart, Pork Kidney, Flaxseed, Dehydrated Alfalfa Meal, Choline Chloride, Potassium Chloride, DL-Methionine, Salt, Mixed Tocopherols and Citric Acid (preservatives), Zinc Sulfate, Niacin Supplement, Iron Amino Acid Chelate, Biotin,"
,,,wild frontier vital prey turkey and duck GF,Adult  ,petsmart,$0.87,,"Turkey, Chicken Meal, Split Peas, Chicken Fat (preserved with Mixed Tocopherols), Dried Potatoes, Tapioca, Dried Chicken, Duck, Pea Protein, Dried Plain Beet Pulp, Natural Flavor, Dehydrated Alfalfa Meal, Turkey Liver, Pork Heart, Pork Kidney, Flaxseed,"
,,,wild frontier vital prey lamb & venison GF,Adult  ,petsmart,$0.91,,"Deboned Lamb, Chicken Meal, Split Peas, Dried Potatoes, Chicken Fat (preserved with Mixed Tocopherols), Tapioca, Fish Meal, Dried Plain Beet Pulp, Dehydrated Alfalfa Meal, Venison Meal, Natural Flavor, Turkey Liver, Pork Heart, Pork Kidney, Potassium Chloride, "
,,,ol'roy,,,,,
,,,Complete Nutrition,,Walmart,$0.13,,"Ground Yellow Corn, Soybean Meal, Meat and Bone Meal, Wheat Middlings, Animal Fat (preserved with mixed tocopherols), Corn Gluten Meal, Ground Wheat, Animal Digest, Calcium Carbonate, Salt, Garlic Oil, Added Colour (Red 40), Zinc Sulfate, Ferrous Sulfate, Choline Chloride, Niacin, Vitamin E Supplement, Copper Sulfate, L-Lysine"
,,,maximum,,Walmart,$0.19,,"poultry by-product meal, poultry fat, soybean meal, what shorts, ground yellow corn, brewers rice, ground wheat, corn gluten meal…...."
,,,Only Natural Pet,,,#DIV/0!,,
,,,Maximeat - Beef with Pumpkin,,,#VALUE!,,
,,,Chicken with Pumpkin,,,#VALUE!,,
,,,Lamb & Cod with Pumpkin,,,#VALUE!,,
,,,Powerfood Red Meat Feast,,Petsmart,$0.89,,
,,,Powerfood Poultry Feast,,Petsmart,$0.89,,
,,,Powerfood Wild Feast,,Petsmart,$0.88,,
,,,Powerfood Just Fish Feast,,Petsmart,$0.89,,
,,,Powerfood Small Breed Feast,,Petsmart,$1.37,,
,,,Powerfood Large Breed Feast,,,#VALUE!,,
,,,Powerfood Reduced Fat Feast,,,#VALUE!,,
,,,Powerfood Puppy Power Feast,,petsmart,$1.40,,
,,,PowerFusion Red Meat Feast,,petsmart,$1.02,,
,,,Powerfusion Poultry Feast,,petsmart,$1.03,,
,,,PowerFusion Wild Feast,,petsmart,$1.02,,
,,,PowerFusion Small Breed Feast,,petsmart,$1.45,,
,,,MindfulMeals Forage Organic Chicken & Turkey,,,#VALUE!,,
,,,MindfulMeals Graze Pasture Raised Lamb,,,#VALUE!,,
,,,MindfulMeals Dive Wild Caught Fish,,,#VALUE!,,
,,,Open Farm,,,,,
,,,Homestead Chicken and Turkey,,Homesalive,$1.07,2.5,$0.00
,,,Ostland Falls Company,,,,,
,,,Gyps Kibble - High Protein,,online,$0.23,,"Spring Wheat, Yellow Corn, Beef Meat Meal, Soybean Meal, Menhaden Fishmeal, Soybean Oil, Fresh Eggs...."
,,,Poncho's Kibble - Adult Dry Dog Food,,online,$0.20,,"Spring Wheat, Yellow Corn, Beef Meat Meal, Soybean Meal, Soybean Oil, Menhaden Fishmeal, Salt, Fresh Eggs, Carrots,"
,,,Dasha;s Kibble - Dry Puppy Food,,online,$0.32,,"Spring Wheat, Yellow Corn, Beef Meat Meal, Soybean Meal, Menhaden Fishmeal, Soybean Oil, Fresh Eggs, Carrots, Fruits and Vegetables, Salt, "
,,,,,,,,
,,,Oven Baked Tradition,,,,,
,,,Lamb,,,$0.00,3.5,
,,,Pedigree ,,,,,
,,,Vitality  Roasted Chicken & Vegetable,adult,petsmart,$0.21,,
,,,Vitality Hearty Beef & Vegetable ,adult,petmsart,$0.19,,
,,,Pedigree Vitality + Original Roasted chicken and vegetable,,,$0.34,3,"CORN, MEAT AND BONE MEAL (SOURCE OF GLUCOSAMINE), ANIMAL FAT (PRESERVED WITH BHA)"
,,,Performatrin,,,,,
Performatrin,,,Puppy Chicken & Rice Formula,Puppy,Pet Valu Ex,$0.68,,
Performatrin,,,Puppy Lamb Meal & Brown Rice Formula,Puppy,Pet Valu Ex,$0.84,,
Performatrin,,,Puppy Small Breed Formula,Puppy SB,Pet Valu Ex,$2.42,,
Performatrin,,,Puppy Large Breed Formula,Puppy LB,Pet Valu Ex,$0.48,,
Performatrin,,,Adult Chicken & Rice Formula,Adult  ,Pet Valu Ex,$0.45,,
Performatrin,,,Adult Lamb Meal & Brown Rice Formula,Adult  ,Pet Valu Ex,$0.54,,
Performatrin,,,Adult Large Breed Formula,Adult LB,Pet Valu Ex,$0.41,,
Performatrin,,,Adult Small Breed Formula,Puppy SB,Pet Valu Ex,$0.66,,
Performatrin,,,Adult Grain-Free Chicken & Pototo Formula,Adult  ,Pet Valu Ex,$0.63,2.9,
Performatrin,,,Healthy Weight Chicken & Rice Formula,Adult  ,Pet Valu Ex,$0.63,,
Performatrin,,,Healthy Weight Lamb Meal & Brown Rice Formula,Adult  ,Pet Valu Ex,$0.52,,
Performatrin,,,Healthy Weight Large Breed Formula,Adult LB,Pet Valu Ex,$0.43,,
Performatrin,,,Healthy Weight Small Breed Formula,Puppy SB,Pet Valu Ex,$0.88,,
Performatrin,,,Senior Chicken & Rice Formula,Senior,Pet Valu Ex,$0.63,,
Performatrin,,,Senior Lamb Meal & Brown Rice Formula,Senior,Pet Valu Ex,$0.53,,
Performatrin,,,Senior Large Breed Formula,Senior LB,Pet Valu Ex,$0.44,,
Performatrin,,,Senior Small Breed Formula,Senior SB,Pet Valu Ex,$0.90,,
,,,Ultra,,,,,
Performatrin,Ultra,,Grain-Free Original Recipe Puppy,Puppy,Pet Valu Ex,$1.48,,
Performatrin,Ultra,,Grain-Free Original Recipe Puppy Large Breed,Puppy LB,Pet Valu Ex,$0.82,,
Performatrin,Ultra,,Chicken & Brown Rice Puppy,Puppy,Pet Valu Ex,$0.88,2.9,
Performatrin,Ultra,,Lamb & Brown Rice Puppy,Puppy,Pet Valu Ex,$0.88,2.9,
Performatrin,Ultra,,Grain-Free Original Recipe Adult,Adult  ,Pet Valu Ex,$0.81,,
Performatrin,Ultra,,Grain-Free Original Recipe Adult Small Bite,Adult SB,Pet Valu Ex,$1.06,,
Performatrin,Ultra,,Grain-Free Original Recipe Adult Large Breed,Adult LB,Pet Valu Ex,$0.78,1.25,
Performatrin,Ultra,,Chicken & Brown Rice Adult,Adult  ,Pet Valu Ex,$0.69,,
Performatrin,Ultra,,Chicken & Brown Rice Adult Small Bite,Adult SB,Pet Valu Ex,$0.91,,
Performatrin,Ultra,,Lamb & Brown Rice Adult,Adult  ,Pet Valu Ex,$0.69,,
Performatrin,Ultra,Lamb & Brown Rice Adult Small Bite,,Adult  ,Pet Valu Ex,$0.91,,
Performatrin,Ultra,Healthy Weight with Salmon,,Adult  ,Pet Valu Ex,$0.69,,
Performatrin,Ultra,Healthy Weight with Salmon Small Bite,,Adult SB,Pet Valu Ex,$0.88,2.9,
Performatrin,Ultra,Grain-Free Foothills Recipe,,Adult  ,Pet Valu Ex,$0.89,,
Performatrin,Ultra,Grain-Free Foothills Recipe Small Bite,,Adult SB,Pet Valu Ex,$1.18,,
Performatrin,Ultra,Grain-Free Prairie Recipe,,Adult  ,Pet Valu Ex,$0.82,,
Performatrin,Ultra,Grain-Free Ocean Recipe,,Adult  ,Pet Valu Ex,$0.82,,
Performatrin,Ultra,Grain-Free Senior Recipe,,Senior,Pet Valu Ex,$0.87,,
Performatrin,Ultra,Grain-Free Senior Recipe Small Bite,,Senior SB,Pet Valu Ex,$1.10,,
,,,Ultra Limited,,,,,
,,,Potato & Duck Formula,Adult  ,Pet Valu Ex,$0.85,,
,,,Potato & Duck Formula Small Bite,Adult  ,Pet Valu Ex,#DIV/0!,,
,,,Potato & Salmon Formula,Adult  ,Pet Valu Ex,$0.86,,
,,,Potato & Turkey Formula,Adult  ,Pet Valu Ex,$0.81,,
,,,Sweet Potato & Chicken Formula,Adult  ,Pet Valu Ex,$0.78,,
,,,Sweet Potato & Fish Formula,Adult  ,Pet Valu Ex,$0.84,,
,,,Sweet Potato & Fish Formula Small Bite,Adult  ,Pet Valu Ex,$1.00,,
,,,Sweet Potato & Venison Formula,Adult  ,Pet Valu Ex,$0.89,,
,,,Naturals,,,,,
,,,Chicken & Veggies,Adult  ,Pet Valu Ex,$0.64,,
,,,Beef & Veggies,Adult  ,Pet Valu Ex,$0.64,,
,,,Salmon & Veggies,Adult  ,Pet Valu Ex,$0.66,,
,,,Chicken & Veggie Small Breed,Adult SB,Pet Valu Ex,$0.89,,
,,,Beef & Veggie Small Breed,Adult SB,Pet Valu Ex,#DIV/0!,,
,,,Salmon & Veggie Small Breed,Adult SB,Pet Valu Ex,#DIV/0!,,
,,,,,,#DIV/0!,,
,,,,,,#DIV/0!,,
,,,,,,#DIV/0!,,
,,,Petcurean,,,,,
,,,Go!,,,,,
,,,Go! Carnivore Chicken Turkey & Duck Puppy,Puppy,,$0.76,,
,,,Go! Carnivore GF Chicken Turkey & Duck Adult,Adult  ,,$0.76,,
,,,Go! Carnivore GF Chicken Turkey & Duck Senior,Senior,,$0.72,,
,,,Go! Carnivore GF Lamb & Wild Boar,Adult  ,,$0.87,,
,,,Go! Carnivore GF Salmon & Cod,Adult  ,,$0.85,,
,,,Go! Sensitivities LID GF Venison,Adult  ,,$1.16,,
,,,G0! Sensitivities LID GF Duck,Adult  ,,$0.76,,
,,,G0! Sensitivities LID GF Salmon,Adult  ,,$0.76,,
,,,G0! Sensitivities LID GF Turkey,Adult  ,,$0.71,,
,,,G0! Sensitivities LID GF Lamb,Adult  ,,$0.79,,
,,,G0! Sensitivities LID GF Pollock,Adult  ,,$0.83,,
,,,Go! Skin & Coat Chicken Recipe,Adult  ,,$0.70,,
,,,Go! Skin & Coat Salmon Recipe,Adult  ,,$0.82,,
,,,Go! Skin & Coat Lamb Recipe,Adult  ,,$0.68,,
,,,Go! Skin & Coat GF Chicken ,Adult  ,,$0.67,,
,,,,,,,,
,,,Fresh GF Puppy,Puppy,,$0.85,,
,,,Fresh GF Adult,Adult,,$0.81,1.75,"De-boned turkey, potato flour, peas, apples, whole dried egg, pea fibre, tomato, potatoes, flaxseed, canola oil (preserved with mixed tocopherols), natural flavour, salmon, de-boned duck, sundried alfalfa, coconut oil (preserved with mixed tocopherols), carrots, pumpkin, bananas, blueberries, "
,,,Fresh GF Senior,Senior,,$0.81,2,
,,,"Fresh GF Turkey, Salmon Duck LB Puppy",Puppy LB,,$0.87,,"De-boned turkey, whole dried egg, potatoes, peas, potato flour, natural flavour, tapioca, flaxseed, canola oil (preserved with mixed tocopherols), apples, de-boned salmon, de-boned duck, sweet potatoes, calcium carbonate, dicalcium phosphate, coconut oil ("
,,,Fresh GF LB Adult,Adult LB,,$0.85,,"De-boned turkey, whole dried egg, potatoes, peas, potato flour, tapioca, natural flavour, flaxseed, de-boned salmon, de-boned duck, pea fibre, apples, sweet potatoes, dicalcium phosphate, canola oil (preserved with mixed tocopherols), coconut oil (preserved with mixed tocopherols), alfalfa"
,,,Fresh GF LB Senior,Adult LB,,$0.81,,
,,,Fresh GF Red Meat Adult,Adult,,$0.96,,
,,,Fresh GF Fish Adult,Adult,,$0.85,,"De-boned trout, whole dried egg, potatoes, potato flour, peas, pea flour, apples, flaxseed, canola oil (preserved with mixed tocopherols), natural flavour, de-boned salmon, de-boned herring, calcium carbonate,"
,,,Fresh GF SB Puppy ,Puppy SB,,$1.30,0.75,"De-boned turkey, whole dried egg, peas, pea flour, potatoes, potato flour, flaxseed, natural flavour, canola oil (preserved with mixed tocopherols), apples, de-boned salmon, de-boned duck, coconut oil (preserved with mixed tocopherols), calcium carbonate,"
,,,Now GF SB Adult,Adult SB,,$1.15,1,"De-boned turkey, whole dried egg, peas, pea flour, potatoes, potato flour, natural flavour, flaxseed, apples, canola oil (preserved with mixed tocopherols), de-boned salmon, de-boned duck, coconut oil (preserved with mixed tocopherols), calcium carbonate, dicalcium phosphate,"
,,,Fresh GF SB Senior,Senior SB,,$1.08,0.75,"De-boned turkey, whole dried egg, potatoes, potato flour, peas, pea flour, apples, natural flavour, flaxseed, de-boned salmon, de-boned duck, canola oil (preserved with mixed tocopherols), tomato, c"
,,,Fresh GF Adult turkey salmon duck,Adult  ,,$0.89,,"De-boned turkey, potato flour, peas, apples, whole dried egg, pea fibre, tomato, potatoes, flaxseed, canola oil (preserved with mixed tocopherols), natural flavour, salmon, de-boned duck, sundried alfalfa, coconut oil (preserved with mixed tocopherols), carrots, pumpkin, bananas, blueberries, cranberries, raspberries, "
,,,Fresh GF SB Red Meat Adult (Lamb & Pork),Adult SB,,$1.29,1,"De-boned lamb, potatoes, whole dried egg, peas, pea flour, potato flour, natural flavour, de-boned pork, flaxseed, apples, canola oil (preserved with mixed tocopherols), coconut oil (preserved with mixed tocopherols), calcium carbonate, dicalcium phosphate"
,,,Fresh GF SB Fish Adult,Adult SB,,$1.13,1,
,,,Now Adult SB ,Adult SB,,#DIV/0!,1,
,,,Now SB Puppy ,Puppy SB,,#DIV/0!,0.75,
,,,Now SB Fish ,Adult SB,,#DIV/0!,1,
,,,Now SB Senior,Senior SB,,#DIV/0!,1,
,,,Petkind,,,,,
,,,Green Lamb Tripe,,,$1.34,2.75,"Lamb tripe, lamb, lamb meal, red lentils, chick pea, peas, pea starch, flax seed, herring oil, pea protein, pumpkin, spinach, carrot, broccoli, cranberry, apple, blueberry, banana, natural flavor, zinc proteinate, iron proteinate, copper proteinate, manganese proteinate,"
,,,Lamb and Lamb Tripe,,,#DIV/0!,2.63,"Beef tripe, beef, chicken, peas, chicken meal, turkey meal, pea starch, pea protein, chicken fat (preserved with mixed tocopherols), lentils, flaxseed, natural flavor, quinoa, pumpkin, spinach, carrot, broccoli, cranberry, apple,"
,,,Green Beef Tripe Formula,,,$0.74,2.63,"Beef tripe, bison tripe, turkey, peas, turkey meal, pea protein, chicken meal, pea starch, chicken fat (preserved with mixed tocopherols), lentils, ﬂaxseed, natural ﬂavor, quinoa, pumpkin, spinach, carrot, broccoli,"
,,,Green Tripe & Bison Formula,,,$0.76,2.63,"Venison Tripe, beef Tripe, red lentils, pork fat, venison, green lentils, yellow peas, green peas, pea protein, beef, chickpea, pea starch, ﬂaxseed, ﬁsh oil, pumpkin, spinach, carrot, broccoli, cranberry, apple, blueberry,"
,,,Venison Tripe Formula,,,$0.85,2.63,"Beef tripe, lamb tripe, venison tripe, beef, lamb, lamb meal, herring meal, pork meal, mutton meal, salmon meal, red lentils, green lentils, chick pea, pea starch, sweet potato, peas, pork fat, flaxseed, pea fibre,"
,,,Green Tripe Red Meat,,,$0.85,2.63,"Lamb tripe, salmon, peas, pea starch, turkey meal, pea protein, canola oil (preserved with rosemary extract), ﬂaxseed, natural ﬂavor, quinoa, pumpkin, spinach, carrot, broccoli, cranberry, apple, blueberry, banana,"
,,,Green Tripe Wild Salmon,,,$0.74,2.75,
,,,Presidents Choice,,,,,
,,,Extra Meaty Lamb & Brown Rice,,,$0.25,,"Lamb, Whole Brown Rice, Whole Corn, Corn Gluten Meal, Lamb Meal, Rice Bran, Whole Barley, Poultry Fat (Preserved with mixed tocopherols, a source of Vitamin E), Liver Digest, Beet Pulp, Dried Whole egg, Flaxseed, Menhaden Fish Meal, Salt, Vitamin E Supplement, Potassium Chloride, Choline Chloride, Liquid Garlic Extract, Safflower Oil, "
